,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional
22,19,"Augustin, D.J.",PG,34,TOT,55,883,9.7,0.61,0.739,0.194,1.4,7.0,4.2,16.8,0.9,0.1,18.9,14.3,,0.7,0.1,0.8,0.043,,-1.2,-2.4,-3.6,-0.4,augusdj01
23,19,"Augustin, D.J.",PG,34,HOU,34,510,9.7,0.596,0.706,0.279,1.5,7.4,4.4,20.5,0.9,0.0,22.8,16.4,,0.2,0.0,0.2,0.017,,-1.4,-2.9,-4.3,-0.3,augusdj01
24,19,"Augustin, D.J.",PG,34,LAL,21,373,9.7,0.635,0.791,0.058,1.2,6.6,3.9,11.8,0.9,0.2,11.1,11.4,,0.5,0.1,0.6,0.079,,-1.0,-1.6,-2.6,-0.1,augusdj01
25,20,"Avdija, Deni",SF,21,WAS,82,1984,11.6,0.536,0.447,0.235,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,,0.6,1.8,2.4,0.058,,-2.1,0.4,-1.7,0.1,avdijde01
26,21,"Ayayi, Joel",SG,21,WAS,7,20,3.4,0.167,0.167,0.0,5.6,10.9,8.3,25.4,0.0,0.0,0.0,13.3,,0.0,0.0,0.0,-0.098,,-4.3,-1.7,-6.0,0.0,ayayijo01
27,22,"Ayton, Deandre",C,23,PHO,58,1713,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,,4.1,3.1,7.3,0.203,,2.2,0.6,2.8,2.1,aytonde01
28,23,"Azubuike, Udoka",C,22,UTA,17,195,17.6,0.743,0.0,0.224,10.5,28.8,19.9,0.0,0.3,5.0,18.2,14.7,,0.3,0.3,0.6,0.157,,-1.8,0.4,-1.4,0.0,azubuud01
29,24,"Bagley, Marvin",PF,22,TOT,48,1153,15.7,0.551,0.217,0.226,9.7,22.6,16.0,5.2,0.9,1.4,7.4,19.8,,1.2,0.9,2.0,0.084,,-0.5,-1.8,-2.3,-0.1,baglema01
30,24,"Bagley, Marvin",PF,22,SAC,30,663,14.3,0.521,0.252,0.191,11.0,24.8,17.8,3.9,0.7,1.5,7.3,18.8,,0.5,0.4,0.9,0.067,,-1.1,-2.4,-3.5,-0.3,baglema01
31,24,"Bagley, Marvin",PF,22,DET,18,490,17.7,0.585,0.175,0.27,8.0,19.8,13.6,6.9,1.3,1.3,7.4,21.2,,0.7,0.4,1.1,0.107,,0.4,-0.9,-0.6,0.2,baglema01
32,25,"Ball, LaMelo",PG,20,CHO,75,2422,19.7,0.554,0.451,0.194,4.7,17.4,11.0,35.7,2.4,1.2,15.3,28.2,,3.4,2.5,5.8,0.116,,3.3,0.1,3.4,3.3,ballla01
33,26,"Ball, Lonzo",PG,24,CHI,35,1212,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20.0,2.6,2.2,17.2,17.4,,0.8,1.4,2.2,0.088,,0.9,1.6,2.5,1.4,balllo01
34,27,"Bamba, Mo",C,23,ORL,71,1824,16.5,0.582,0.455,0.118,8.5,24.6,16.5,7.4,1.0,5.9,10.6,17.2,,1.8,2.7,4.5,0.118,,-0.2,0.9,0.7,1.2,bambamo01
35,28,"Bane, Desmond",SG,23,MEM,76,2266,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,,4.5,2.7,7.2,0.153,,2.5,0.3,2.7,2.7,banede01
36,29,"Banton, Dalano",PG,22,TOR,64,696,10.0,0.463,0.252,0.218,5.6,14.1,9.7,19.8,2.0,1.4,19.3,16.9,,-0.4,0.8,0.4,0.03,,-3.5,0.4,-3.1,-0.2,bantoda01
37,30,"Barber, Cat",PG,27,ATL,3,13,-11.2,0.0,0.0,1.0,8.5,16.7,12.6,26.7,0.0,0.0,14.8,22.7,,-0.1,0.0,-0.1,-0.45,,-15.8,-7.6,-23.5,-0.1,barbeca01
38,31,"Barnes, Harrison",PF,29,SAC,77,2580,15.7,0.623,0.432,0.495,3.4,14.9,9.1,10.5,1.0,0.5,10.4,18.8,,5.0,1.0,6.0,0.112,,1.5,-1.3,0.2,1.4,barneha02
39,32,"Barnes, Scottie",PF,20,TOR,74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19.0,,3.7,2.9,6.6,0.122,,0.5,0.4,0.9,1.9,barnesc01
40,33,"Barrett, RJ",SF,21,NYK,70,2417,13.7,0.511,0.338,0.34,2.9,15.5,9.1,14.9,0.9,0.7,9.9,27.6,,0.1,2.2,2.3,0.046,,-0.3,-1.3,-1.6,0.2,barrerj01
41,34,"Barton, Will",SG,31,DEN,71,2277,13.4,0.548,0.48,0.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.2,1.9,3.2,0.067,,0.4,-0.9,-0.5,0.9,bartowi01
42,35,"Bass, Paris",SF,26,PHO,2,7,13.9,0.436,0.333,0.333,31.5,29.9,30.6,0.0,6.9,0.0,22.5,54.6,,0.0,0.0,0.0,-0.17,,-11.2,-1.2,-12.4,0.0,basspa01
43,36,"Bassey, Charles",C,21,PHI,23,168,21.5,0.66,0.085,0.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,,0.4,0.3,0.8,0.22,,-0.4,2.1,1.7,0.2,bassech01
44,37,"Bates-Diop, Keita",SF,26,SAS,59,957,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,,0.6,1.0,1.6,0.08,,-2.1,-0.5,-2.6,-0.1,bateske01
45,38,"Batum, Nicolas",PF,33,LAC,59,1463,13.5,0.608,0.698,0.098,2.2,15.8,9.2,9.7,1.9,2.4,9.0,13.3,,1.6,2.1,3.7,0.123,,0.5,1.9,2.3,1.6,batumni01
46,39,"Bazemore, Kent",SF,32,LAL,39,545,6.0,0.451,0.576,0.122,2.6,11.0,6.8,8.1,2.2,1.5,12.5,13.2,,-0.4,0.5,0.1,0.006,,-5.1,0.8,-4.3,-0.3,bazemke01
47,40,"Bazley, Darius",PF,21,OKC,69,1924,12.6,0.515,0.414,0.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,,-0.5,2.2,1.8,0.044,,-2.1,0.3,-1.8,0.1,bazleda01
48,41,"Beal, Bradley",SG,28,WAS,40,1439,17.5,0.539,0.272,0.263,3.0,11.4,7.3,30.8,1.2,0.9,13.6,30.8,,0.6,0.7,1.4,0.046,,2.0,-1.2,0.8,1.0,bealbr01
49,42,"Beasley, Malik",SG,25,MIN,79,1976,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1.0,0.6,4.7,19.4,,1.7,1.2,2.9,0.069,,0.7,-1.5,-0.7,0.7,beaslma01
50,43,"Bell, Jordan",C,27,CHI,1,2,29.9,,,,56.6,0.0,28.1,0.0,24.4,0.0,,0.0,,0.0,0.0,0.0,0.6,,-8.1,10.8,2.7,0.0,belljo01
51,44,"Bembry, DeAndre'",SF,27,TOT,56,1026,11.9,0.601,0.163,0.158,4.6,12.5,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.104,,-2.2,1.5,-0.7,0.3,bembrde01
52,44,"Bembry, DeAndre'",SF,27,BRK,48,949,12.4,0.609,0.169,0.164,4.5,12.8,8.7,8.5,2.4,2.4,11.6,11.7,,1.1,1.1,2.1,0.108,,-2.0,1.6,-0.4,0.4,bembrde01
53,44,"Bembry, DeAndre'",SF,27,MIL,8,77,4.8,0.375,0.0,0.0,5.6,9.4,7.6,9.4,1.2,0.0,11.1,5.0,,0.0,0.1,0.1,0.053,,-4.4,0.5,-3.9,0.0,bembrde01
54,45,"Bertāns, Dāvis",PF,29,TOT,56,806,9.4,0.531,0.836,0.145,1.7,14.3,8.0,5.5,1.0,1.3,6.1,17.3,,0.2,0.7,0.9,0.053,,-1.7,-0.9,-2.6,-0.1,bertada01
55,45,"Bertāns, Dāvis",PF,29,WAS,34,501,8.3,0.527,0.842,0.175,1.3,12.0,6.7,4.4,1.1,1.0,7.1,17.6,,0.0,0.3,0.3,0.025,,-2.5,-1.3,-3.8,-0.2,bertada01
56,45,"Bertāns, Dāvis",PF,29,DAL,22,306,11.2,0.54,0.827,0.096,2.2,18.2,10.2,7.1,1.0,1.8,4.4,16.7,,0.2,0.4,0.6,0.098,,-0.4,-0.3,-0.6,0.1,bertada01
57,46,"Beverley, Patrick",PG,33,MIN,58,1476,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,,2.3,1.7,4.1,0.132,,0.6,2.1,2.7,1.7,beverpa01
58,47,"Bey, Saddiq",SF,22,DET,82,2704,14.0,0.529,0.537,0.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,,2.4,1.6,4.0,0.071,,0.9,-1.2,-0.3,1.2,beysa01
59,48,"Birch, Khem",C,29,TOR,55,991,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,,1.5,1.1,2.6,0.126,,-1.7,0.4,-1.3,0.2,birchkh01
60,49,"Bitadze, Goga",C,22,IND,50,729,18.0,0.595,0.317,0.373,11.9,15.3,13.5,11.2,1.4,5.0,13.6,19.9,,1.3,0.6,1.9,0.122,,-0.2,-0.6,-0.8,0.2,bitadgo01
61,50,"Biyombo, Bismack",C,29,PHO,36,506,17.3,0.596,0.0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,,0.9,0.9,1.8,0.17,,-1.7,0.4,-1.3,0.1,biyombi01
62,51,"Bjelica, Nemanja",C,33,GSW,71,1143,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,,1.0,2.1,3.0,0.128,,-0.9,2.3,1.4,1.0,bjeline01
63,52,"Bledsoe, Eric",PG,32,LAC,54,1361,12.5,0.514,0.348,0.25,2.2,11.6,7.1,24.1,2.5,1.2,18.3,20.5,,-0.5,1.8,1.3,0.047,,-2.1,1.3,-0.8,0.4,bledser01
64,53,"Blevins, Keljin",SF,26,POR,31,349,4.8,0.41,0.649,0.099,4.9,9.5,7.1,7.7,1.8,0.3,12.8,16.5,,-0.6,0.1,-0.5,-0.066,,-5.6,-2.9,-8.5,-0.6,blevike01
65,54,"Bogdanović, Bogdan",SG,29,ATL,63,1848,15.4,0.562,0.578,0.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,,2.5,1.2,3.7,0.095,,1.5,-0.2,1.3,1.5,bogdabo01
66,55,"Bogdanović, Bojan",PF,32,UTA,69,2131,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,,3.6,1.6,5.2,0.118,,1.6,-1.6,0.0,1.1,bogdabo02
67,56,"Bol, Bol",PF,22,DEN,14,81,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12.0,18.0,,0.0,0.1,0.1,0.065,,-0.5,-0.4,-1.0,0.0,bolbo01
68,57,"Bolmaro, Leandro",SF,21,MIN,35,241,5.4,0.419,0.333,0.241,6.9,12.3,9.6,11.0,1.2,0.0,17.9,12.6,,-0.1,0.2,0.0,0.004,,-5.1,-0.7,-5.8,-0.2,bolmale01
69,58,"Bonga, Isaac",SF,22,TOR,15,69,8.7,0.363,0.308,0.615,6.0,5.0,5.5,7.3,5.8,2.8,10.8,11.5,,-0.1,0.1,0.1,0.06,,-5.4,5.0,-0.4,0.0,bongais01
70,59,"Booker, Devin",SG,25,PHO,68,2345,21.3,0.576,0.336,0.255,2.1,13.2,7.8,22.4,1.6,1.0,9.3,32.0,,4.3,3.3,7.6,0.156,,3.9,0.2,4.1,3.6,bookede01
71,60,"Boston, Brandon",SG,20,LAC,51,760,11.2,0.481,0.342,0.222,2.4,12.7,7.7,10.1,1.7,1.5,8.0,22.4,,-0.5,0.9,0.4,0.026,,-3.0,-0.4,-3.3,-0.3,bostobr01
72,61,"Boucher, Chris",SF,29,TOR,80,1690,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6.0,17.8,,3.5,2.4,6.0,0.169,,0.5,-0.4,0.1,0.9,bouchch01
73,62,"Bouknight, James",SG,21,CHO,31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,,-0.1,0.1,0.0,0.001,,-3.4,-3.7,-7.1,-0.4,bouknja01
74,63,"Bradley, Avery",SG,31,LAL,62,1406,7.8,0.55,0.6,0.051,2.4,8.0,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,0.04,,-3.5,-0.1,-3.6,-0.6,bradlav01
75,64,"Bradley, Tony",C,24,CHI,55,549,14.9,0.6,0.0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,,0.6,0.7,1.3,0.112,,-2.0,0.2,-1.8,0.0,bradlto01
76,65,"Brazdeikis, Ignas",SF,23,ORL,42,536,10.2,0.52,0.463,0.17,4.5,9.7,7.1,10.7,0.9,0.5,7.8,17.7,,0.2,0.3,0.5,0.041,,-2.7,-1.6,-4.3,-0.3,brazdig01
77,66,"Bridges, Mikal",SF,25,PHO,82,2854,14.4,0.627,0.364,0.183,2.9,10.0,6.5,8.7,1.6,1.1,6.8,15.0,,5.2,3.7,8.9,0.15,,0.5,1.1,1.6,2.6,bridgmi01
78,67,"Bridges, Miles",PF,23,CHO,80,2837,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,,5.0,2.3,7.2,0.123,,1.8,-0.3,1.5,2.5,bridgmi02
79,68,"Brissett, Oshae",SF,23,IND,67,1564,12.9,0.53,0.468,0.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,,1.4,0.9,2.2,0.069,,-0.5,-1.7,-2.2,-0.1,brissos01
80,69,"Brogdon, Malcolm",PG,29,IND,36,1206,18.0,0.557,0.343,0.308,3.0,14.3,8.6,26.9,1.2,1.0,11.1,24.6,,2.2,0.4,2.7,0.106,,2.8,-0.5,2.3,1.3,brogdma01
81,70,"Brooks, Armoni",SG-PG,23,TOT,54,844,8.4,0.483,0.862,0.073,2.5,10.9,6.7,10.4,1.6,1.2,8.3,16.4,,-0.1,0.4,0.2,0.014,,-2.6,-1.3,-3.9,-0.4,brookar01
82,70,"Brooks, Armoni",SG,23,HOU,41,690,8.4,0.49,0.849,0.076,1.9,11.1,6.4,10.3,1.4,1.0,8.1,17.4,,-0.2,0.2,0.0,0.002,,-2.6,-1.8,-4.4,-0.4,brookar01
83,70,"Brooks, Armoni",PG,23,TOR,13,154,8.6,0.437,0.947,0.053,5.3,10.4,7.7,11.0,2.3,1.9,9.3,11.9,,0.0,0.2,0.2,0.067,,-2.8,1.2,-1.6,0.0,brookar01
84,71,"Brooks, Dillon",SF,26,MEM,32,885,15.5,0.515,0.283,0.202,3.4,8.8,6.0,15.4,1.9,0.8,8.0,28.8,,0.7,0.9,1.6,0.087,,-1.0,-0.8,-1.8,0.0,brookdi01
85,72,"Brown, Bruce",SF,25,BRK,72,1774,15.0,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15.0,,2.8,2.0,4.8,0.13,,-0.4,1.1,0.7,1.2,brownbr01
86,73,"Brown, Charlie",SG,24,TOT,22,178,6.5,0.346,0.308,0.256,9.0,11.2,10.1,4.5,2.8,2.0,10.3,12.3,,-0.2,0.2,0.0,0.012,,-5.2,0.4,-4.8,-0.1,brownch02
87,73,"Brown, Charlie",SG,24,DAL,3,15,5.1,0.2,0.6,0.0,0.0,7.4,3.7,8.9,6.7,6.0,0.0,15.0,,-0.1,0.0,0.0,-0.05,,-7.7,5.1,-2.6,0.0,brownch02
88,73,"Brown, Charlie",SG,24,PHI,19,162,6.6,0.365,0.265,0.294,9.8,11.5,10.7,4.1,2.5,1.7,11.5,12.0,,-0.1,0.2,0.1,0.018,,-5.0,-0.1,-5.0,-0.1,brownch02
89,74,"Brown, Chaundee",SG-SF,23,TOT,5,104,6.4,0.447,0.563,0.188,1.1,15.7,8.4,5.1,0.9,0.0,2.8,14.9,,0.0,0.0,0.0,0.002,,-4.3,-2.4,-6.6,-0.1,brownch05
90,74,"Brown, Chaundee",SF,23,LAL,2,21,-8.7,0.143,0.429,0.0,0.0,10.2,5.1,0.0,0.0,0.0,12.5,16.4,,-0.1,0.0,-0.1,-0.306,,-11.6,-5.0,-16.6,-0.1,brownch05
91,74,"Brown, Chaundee",SG,23,ATL,3,83,10.3,0.525,0.6,0.24,1.3,17.0,9.2,6.4,1.2,0.0,0.0,14.6,,0.1,0.0,0.1,0.08,,-2.4,-1.7,-4.1,0.0,brownch05
92,75,"Brown, Greg",SF,20,POR,48,640,11.0,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2.0,3.7,14.1,17.2,,-0.1,0.5,0.4,0.029,,-4.0,-0.7,-4.7,-0.4,browngr01
93,76,"Brown, Jaylen",SF,25,BOS,66,2220,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,,2.3,3.4,5.8,0.124,,1.9,0.1,2.1,2.2,brownja02
94,77,"Brown, Moses",C,22,TOT,40,344,18.5,0.612,0.0,0.667,12.7,30.5,21.7,0.4,1.0,4.2,12.5,20.7,,0.5,0.7,1.2,0.161,,-2.4,-0.9,-3.3,-0.1,brownmo01
95,77,"Brown, Moses",C,22,DAL,26,169,15.5,0.588,0.0,0.86,10.5,29.6,20.1,0.9,0.9,4.8,16.9,22.1,,0.1,0.3,0.4,0.111,,-4.7,-0.2,-4.8,-0.1,brownmo01
96,77,"Brown, Moses",C,22,CLE,14,176,21.4,0.636,0.0,0.5,14.8,31.4,23.2,0.0,1.1,3.5,7.8,19.3,,0.4,0.3,0.8,0.207,,-0.2,-1.7,-1.9,0.0,brownmo01
97,78,"Brown, Sterling",SG,26,DAL,49,628,8.4,0.495,0.594,0.097,4.6,21.8,13.2,7.5,1.1,1.0,12.5,13.2,,-0.1,0.9,0.8,0.061,,-3.4,0.5,-2.9,-0.1,brownst02
98,79,"Brown, Troy",SF,22,CHI,66,1055,10.1,0.525,0.516,0.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,,0.5,0.9,1.4,0.065,,-1.7,-0.2,-1.8,0.1,browntr01
99,80,"Brunson, Jalen",SG,25,DAL,79,2524,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,,4.9,2.7,7.5,0.143,,0.9,0.0,0.9,1.9,brunsja01
100,81,"Bryant, Thomas",C,24,WAS,27,439,16.6,0.607,0.284,0.27,6.7,20.4,13.6,7.9,0.7,4.1,10.3,18.7,,0.7,0.4,1.1,0.118,,-0.4,-0.7,-1.0,0.1,bryanth01
101,82,"Buchanan, Shaq",SG,25,MEM,2,10,0.6,0.25,0.5,0.0,10.2,10.7,10.5,24.9,4.8,0.0,33.3,24.6,,-0.1,0.0,0.0,-0.23,,-11.0,0.3,-10.7,0.0,buchash01
102,83,"Bullock, Reggie",SF,30,DAL,68,1902,9.2,0.558,0.782,0.096,1.9,12.2,7.0,6.1,1.1,0.7,7.1,13.3,,1.2,2.0,3.2,0.08,,-1.4,0.0,-1.4,0.3,bullore01
103,84,"Burke, Trey",PG,29,DAL,42,441,10.0,0.475,0.381,0.107,1.0,7.3,4.2,20.7,1.4,0.0,10.4,25.6,,-0.4,0.4,0.0,0.003,,-3.6,-1.4,-5.0,-0.3,burketr01
104,85,"Burks, Alec",SG,30,NYK,81,2318,13.7,0.559,0.534,0.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,,3.2,2.9,6.1,0.126,,-0.4,1.2,0.8,1.7,burksal01
105,86,"Butler, Jared",SG,21,UTA,42,360,12.1,0.509,0.583,0.106,1.6,11.8,6.8,26.0,2.3,2.0,17.3,23.1,,0.0,0.5,0.4,0.057,,-2.3,0.7,-1.6,0.0,butleja02
106,87,"Butler, Jimmy",SF,32,MIA,57,1931,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,,6.2,2.9,9.2,0.228,,4.5,1.9,6.3,4.0,butleji01
107,88,"Cacok, Devontae",PF,25,SAS,15,121,20.2,0.675,0.0,0.226,6.9,29.7,18.2,6.9,3.2,4.9,8.1,12.9,,0.3,0.3,0.5,0.206,,0.7,3.5,4.2,0.2,cacokde01
108,89,"Caldwell-Pope, Kentavious",SG,28,WAS,77,2329,12.6,0.568,0.492,0.186,2.0,10.3,6.2,9.1,1.8,0.9,9.8,19.0,,1.4,1.4,2.8,0.058,,-0.9,-0.6,-1.5,0.3,caldwke01
109,90,"Campazzo, Facundo",PG,30,DEN,65,1184,11.1,0.503,0.652,0.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,,0.6,1.3,2.0,0.081,,-2.1,1.3,-0.8,0.4,campafa01
110,91,"Čančar, Vlatko",PF,24,DEN,15,176,12.7,0.657,0.293,0.341,5.2,14.1,9.8,13.2,0.6,1.5,16.0,14.0,,0.3,0.1,0.4,0.114,,-0.9,-0.9,-1.7,0.0,cancavl01
111,92,"Cannady, Devin",PG,25,ORL,5,145,8.6,0.531,0.841,0.159,0.7,3.7,2.2,10.0,1.7,1.9,9.6,15.5,,0.0,0.1,0.1,0.033,,-2.8,-0.4,-3.2,0.0,cannade01
112,93,"Capela, Clint",C,27,ATL,74,2042,21.4,0.604,0.002,0.28,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,,5.6,2.7,8.3,0.195,,2.1,-0.1,2.0,2.1,capelca01
113,94,"Carey, Vernon",C,20,TOT,7,44,15.8,0.534,0.0,1.0,19.9,9.8,14.8,0.0,2.2,1.9,13.8,21.6,,0.0,0.0,0.1,0.068,,-3.0,-4.5,-7.5,-0.1,careyve01
114,94,"Carey, Vernon",C,20,CHO,4,17,17.2,0.546,0.0,0.5,18.4,12.6,15.6,0.0,2.8,0.0,12.0,20.8,,0.0,0.0,0.0,0.099,,-2.8,-5.2,-8.0,0.0,careyve01
