,Player,Pos,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Cluster
481,"Mathews, Garrison",SG,1712,11.0,0.602,0.837,0.39,2.0,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,0.078,-1.3,-1.0,-2.3,-0.1,0
482,"Mathias, Dakota",SG,16,11.0,0.5,1.0,0.0,0.0,13.4,6.5,8.0,3.0,0.0,0.0,15.4,0.0,0.0,0.0,0.114,-1.4,1.7,0.3,0.0,0
483,"Matthews, Wesley",SG,1002,6.9,0.536,0.714,0.127,3.2,6.4,4.9,4.6,1.1,0.8,7.2,10.7,0.6,0.6,1.2,0.056,-3.0,-0.3,-3.3,-0.3,0
484,"Maxey, Tyrese",PG,2650,16.2,0.594,0.311,0.247,1.1,8.9,5.1,19.1,1.0,1.1,7.4,20.2,5.4,1.9,7.3,0.132,1.3,-0.7,0.6,1.8,1
485,"Mays, Skylar",SG,220,11.7,0.589,0.391,0.141,2.5,9.9,6.2,10.8,1.6,0.0,12.8,15.5,0.2,0.1,0.3,0.061,-1.2,-0.8,-2.0,0.0,0
486,"McBride, Miles",PG,372,6.1,0.393,0.63,0.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,0.032,-5.5,1.0,-4.5,-0.2,0
487,"McClung, Mac",SG,24,5.2,0.621,0.5,0.167,0.0,12.9,6.5,5.2,1.9,3.6,31.8,16.3,0.0,0.0,0.0,-0.045,-8.4,-1.2,-9.6,0.0,0
488,"McClung, Mac",PG,3,8.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.4,0.0,0.0,0.0,-0.251,-6.9,-8.4,-15.3,0.0,0
489,"McClung, Mac",SG,22,4.7,0.551,0.6,0.2,0.0,14.6,7.3,6.0,2.2,4.0,26.9,14.5,0.0,0.0,0.0,-0.015,-8.6,-0.2,-8.8,0.0,0
490,"McCollum, CJ",SG,2145,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.081,3.2,-1.3,1.9,2.1,1
491,"McCollum, CJ",SG,1267,15.8,0.532,0.435,0.102,2.8,10.7,6.6,22.5,1.4,1.6,9.2,26.1,0.7,0.3,1.0,0.04,1.8,-1.7,0.1,0.7,0
492,"McCollum, CJ",SG,878,21.9,0.58,0.361,0.204,2.3,12.5,7.3,31.3,1.9,0.1,9.5,29.4,1.9,0.7,2.6,0.14,5.3,-0.7,4.6,1.5,1
493,"McConnell, T.J.",PG,652,15.1,0.525,0.159,0.111,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,1.0,0.4,1.3,0.098,-0.4,1.4,0.9,0.5,0
494,"McDaniels, Jaden",PF,1803,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,0.7,1.7,2.4,0.065,-2.9,-0.1,-2.9,-0.4,0
495,"McDaniels, Jalen",SF,895,12.7,0.595,0.425,0.283,4.3,16.0,10.1,8.7,1.4,2.3,11.2,15.3,1.0,0.7,1.7,0.093,-1.9,-0.4,-2.3,-0.1,0
